,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake
body_legs_bmc,0.1721582406006218,0.1290516313197881,-0.0928676900030804,,0.061339211245162,-0.1378545305551979,-0.0712181719358245,0.0461813966425754,0.2754881113544303,0.1504995575818502
body_total_left_bmc,0.1688684846404707,0.1224708327381421,-0.0794823267237334,,0.0605295588333043,-0.1283497820033894,-0.0632050765435261,0.036572310414646,0.2589319356438238,0.132583263193756
body_total_bmc,0.1794042855753242,0.1305605519622331,-0.0912435670664893,,0.0639372629741063,-0.132324408050608,-0.0679584619975562,0.0341659804650522,0.2616848887854245,0.1379283682805248
body_total_right_bmc,0.1815035610642444,0.1319111283754594,-0.0982062478870506,,0.0630031693206483,-0.1295422635130861,-0.06938982317609,0.0306510488014791,0.252244972871994,0.1364855630781339
femur_left_shaft_area,0.1621346356386194,0.0955664109081975,-0.0688832885842437,,0.0369698417920093,-0.1018330606651924,-0.0745612976453501,0.0768509216839905,0.2207601432744796,0.1128437178535011
femur_right_shaft_area,0.1618453519566919,0.0973181896193425,-0.0901150072719444,,0.0373664711391957,-0.1081454323828899,-0.0760899755521153,0.0892945029946247,0.2163903380997903,0.1094978807212285
femur_shaft_mean_area,0.1669605565618664,0.097200536285814,-0.0813572089587334,,0.0366380280132489,-0.1062469093724988,-0.0777347788628034,0.0868367655756795,0.2236915798334947,0.1134943802029542
spine_l1_l4_area,0.1528499210148328,0.1082884705895001,-0.0651957203926713,,0.0321082960132148,-0.1017435084220344,-0.0589779051981656,0.0620908337197781,0.2305163968939691,0.1307890941276683
spine_l2_l3_area,0.1487158221919591,0.1005874646264794,-0.065265384589104,,0.0296293559926442,-0.0991605315621331,-0.0680793799673948,0.0605325472561791,0.2268563537528416,0.1325675816170945
spine_l1_l3_area,0.1666416276692994,0.116217939579953,-0.076888260845966,,0.0329165769573801,-0.1020032922645651,-0.0686289756240485,0.0647752844511188,0.2324875935970247,0.1332941481154839
spine_l2_area,0.1616815439366747,0.1121641192471564,-0.0793178158373337,,0.0291431059497527,-0.0944351101878523,-0.0652911670907747,0.0615921619995873,0.2256407022661417,0.1304596601905882
body_total_left_area,0.1796216126090209,0.1289616080994058,-0.0954063951472252,,0.0339881090896902,-0.1148656571994851,-0.0744398221182764,0.0746423084860287,0.2506530543340572,0.1338342163447039
body_total_area,0.1941990578796309,0.1380040361402491,-0.1091449854587047,,0.0366972643204405,-0.1184387346033496,-0.0786061130528993,0.0730042643071822,0.253246068860252,0.1353270205545927
body_total_right_area,0.2007278569991396,0.1404056745299186,-0.1183200252857181,,0.0378796366189595,-0.1169224884566424,-0.0792863566530172,0.068395660659076,0.245132064735913,0.1316540536092801
body_leg_right_area,0.1695941046618099,0.1195625964720273,-0.1013235678905482,,0.0312135799006226,-0.1181347163303551,-0.0679606387936831,0.0768688756269734,0.2343987616462589,0.1273173653539989
body_leg_left_area,0.1669874966512667,0.116513854811222,-0.100568253321711,,0.0313399974660307,-0.1152541428296028,-0.0700154991002258,0.0768910241932689,0.2377014227280899,0.1302283398158867
body_legs_area,0.1690637344886599,0.1184722564339894,-0.1011435248110608,,0.0315249258207017,-0.1173320613299051,-0.0698454955718285,0.077862064797165,0.23796665456281,0.1299189338701595
femur_right_wards_area,0.1743070669221684,0.1210387185595067,-0.1100777377575476,,0.0301885468897315,-0.1086032016529337,-0.0638414227673575,0.0823197330104389,0.2235498625459133,0.1101401554010156
femur_right_upper_neck_area,0.1654955140183274,0.1170775244796453,-0.1104190213378684,,0.0324579167782358,-0.1051557749606593,-0.0660570619427756,0.0798214740190644,0.2267979997918865,0.1142562499557638
